World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009.18,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18,Completeness_of_birth_reg_2009.18,Completeness_of_death_reg_2008.16,alpha_2,alpha_3,numeric,latitude,longitude
Djibouti,3.5,45.8,25.8,70.2,122.1,27.8,0.2,0.5,4.4,-99,-99,55,58,262,11.5,43
Dominica,5.3,64.3,29.1,419.4,580.7,5.4,1.1,5.9,11.3,-99,100,57,59,212,15.4167,-61.3333
Dominican Republic,6.2,45.7,44.6,414.2,936.8,0.6,1.6,0.3,-99,88,56.9,58,61,214,19,-70.6667
Ecuador,8.4,51.2,40.5,504.8,942.9,0.4,2.1,1.2,59.4,82,80,60,63,218,-2,-77.5
Egypt. Arab Rep.,4.6,29.3,62,131,516.3,1,0.8,1.4,50.1,99.4,95,-99,-99,-99,-99,-99
El Salvador,7,64.5,27.2,293.9,599.5,2.3,1.6,2.3,22.3,99,78,206,197,222,13.8333,-88.9167
Equatorial Guinea,3.4,23.5,72.8,281.4,838.7,1.2,0.4,0.5,-99,54,-99,85,86,226,2,10
Eritrea,3,29.2,59.1,29.9,55.3,11.7,-99,-99,0.4,-99,-99,64,65,232,15,39
Estonia,6.7,75.4,22.7,1185.3,1987.7,0.2,3.5,6.5,65,100,100,61,68,233,59,26
Eswatini,7.7,69.3,9.9,220.6,663.3,13.8,0.1,2,0.2,54,-99,-99,-99,-99,-99,-99
Ethiopia,4,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,-99,66,69,231,8,38
Faroe Islands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,71,74,234,62,-7
Fiji,3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,-99,100,68,71,242,-18,175
Finland,9.5,77.4,20.4,4117.3,4112.1,0,3.8,14.7,76.3,100,100,67,70,246,64,26
France,11.5,82.9,9.8,4263.4,4782.3,0,3.2,9.7,58.6,100,100,72,73,250,46,2
French Polynesia,-99,-99,-99,-99,-99,-99,-99,-99,32.6,-99,-99,171,182,258,-15,-140
Gabon,3.1,64.6,22.5,220.4,555.6,0.9,0.4,2.6,-99,89.6,-99,73,76,266,-1,11.75
Gambia. The,4.4,18.6,23.6,20.9,74.3,43.8,0.1,1.6,1.8,72,-99,-99,-99,-99,-99,-99
Georgia,8.4,36.6,55.6,308,797.2,2.3,5.1,4.1,130.4,100,98,76,78,268,42,43.5
Germany,11.1,84.7,12.4,4714.3,5463.3,-99,4.2,13.2,108,100,100,54,57,276,51,9
Ghana,4.4,38.4,37.8,67.5,189.4,12.8,0.2,1.2,-99,70.5,-99,79,80,288,8,-2
Greece,8.5,60.7,34.3,1510.7,2261.2,0.3,4.6,3.4,163.5,100,100,86,87,300,39,22
Greenland,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,81,89,304,72,-40
Grenada,5.2,41.3,57.8,516.4,745.1,0.9,1.4,3.1,12.6,-99,100,75,88,308,12.1167,-61.6667
Guam,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,89,92,316,13.4667,144.7833
Guatemala,5.8,37.2,53.3,241.4,462.4,0.9,0.4,0.9,3.4,96,92,88,90,320,15.5,-90.25
Guinea,5.5,12.3,49.8,37.5,107.7,27.2,0.1,0.4,-99,62,-99,83,82,324,11,-10
Guinea-Bissau,6.1,44.3,35.4,39.1,98,20.3,0.2,1.4,-99,24,-99,90,85,624,12,-15
Guyana,4.2,58.9,35.1,192.3,332.7,5.9,0.8,1.3,8.8,89,81,91,93,328,5,-59
Haiti,5.4,15.3,41.7,37.7,95.4,38.4,0.2,0.7,5.9,84.8,-99,96,98,332,19,-72.4167
Honduras,8.4,45.9,45,199.6,400.3,3.1,0.3,0.9,13.7,93.6,17,94,96,340,15,-86.5
Hungary,7.4,65.9,29.7,942.6,1963.2,0,3.2,6.6,55.7,100,100,97,99,348,47,20
Iceland,8.3,81.5,16.9,5063.6,4245.1,0,4,15.7,101.6,100,100,106,107,352,65,-18
India,3.7,25.4,64.6,62.7,241.5,1,0.8,2.1,6.8,79.7,-99,102,102,356,20,77
Indonesia,3.1,44.7,37.3,111.6,362.7,0.4,0.4,2.1,-99,72,-99,98,100,360,-5,120
Iran. Islamic Rep.,8.1,54.5,38.8,415.4,1563.8,0,1.1,1.9,5,99,-99,-99,-99,-99,-99,-99
Iraq,3.3,21.1,78.5,152.6,493.7,0.4,0.8,1.7,7.6,99,65,104,106,368,33,44
Ireland,7.4,72.1,13,4758.6,5299.7,0,3.1,14.3,72,100,100,99,104,372,53,-8
Isle of Man,-99,-99,-99,-99,-99,-99,1.4,2.3,52.4,85.4,-99,101,101,833,54.23,-4.55
Israel,7.3,62.5,23,2837.1,2843,1.5,3.2,5.2,75.6,100,100,100,108,376,31.5,34.75
Italy,8.9,74.5,23.1,2738.7,3427.3,-99,4.1,5.9,142.4,100,100,107,109,380,42.8333,12.8333
Jamaica,6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98,-99,109,110,388,18.25,-77.5
