eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,3,5,Libya,Middle East & North Africa,Jafara,Hasawna,32.604025,13.033539,0
2.02E+11,2017,6,20,Nigeria,Sub-Saharan Africa,Borno,Dalwa,11.635419,13.030761,3
2.02E+11,2017,4,14,Germany,Western Europe,Brandenburg,Kremmen,52.762125,13.028624,0
2.02E+11,2017,10,7,Libya,Middle East & North Africa,Jafara,Aziziyah,32.529945,13.025373,2
2.02E+11,2017,7,9,Libya,Middle East & North Africa,Jabal Al Gharbi,Gharyan,32.165966,13.016418,1
2.02E+11,2017,8,19,Libya,Middle East & North Africa,Jabal Al Gharbi,Gharyan,32.165966,13.016418,0
2.02E+11,2017,12,11,Sweden,Western Europe,Skane,Malmo,55.604981,13.003822,0
2.02E+11,2017,9,29,Libya,Middle East & North Africa,Jabal Al Gharbi,Mizdah,31.445839,12.989232,4
2.02E+11,2017,6,8,Nigeria,Sub-Saharan Africa,Adamawa,Fadaman Rake,10.229903,12.98478,2
2.02E+11,2017,7,22,Nigeria,Sub-Saharan Africa,Adamawa,Dagu,10.4,12.983333,4
2.02E+11,2017,7,23,Nigeria,Sub-Saharan Africa,Adamawa,Dagu,10.4,12.983333,5
2.02E+11,2017,1,28,Nigeria,Sub-Saharan Africa,Borno,Unknown,11.509748,12.978912,15
2.02E+11,2017,12,30,Nigeria,Sub-Saharan Africa,Borno,Konduga district,11.492144,12.969724,-99
2.02E+11,2017,7,31,Nigeria,Sub-Saharan Africa,Borno,Kuburmbula,10.906124,12.966582,0
2.02E+11,2017,2,10,Nigeria,Sub-Saharan Africa,Borno,Kaumutayahi,10.860833,12.962222,1
2.02E+11,2017,9,18,Nigeria,Sub-Saharan Africa,Borno,Mashemeri,11.565604,12.950002,13
2.02E+11,2017,7,31,Nigeria,Sub-Saharan Africa,Borno,Boftari,10.886389,12.945833,0
