origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,2000,origin.lat,origin.lon,dest.lat,dest.lon
Northern Mariana Islands,MNP,Total,TOT,American Samoa,ASM,7658,17.33083,145.38469,-14.270972,-170.132217
Northern Mariana Islands,MNP,Total,TOT,Bermuda,BMU,7658,17.33083,145.38469,32.321384,-64.75737
Northern Mariana Islands,MNP,Total,TOT,Greece,GRC,7658,17.33083,145.38469,39.074208,21.824312
Norway,NOR,Total,TOT,Cyprus,CYP,7738,60.472024,8.468946,35.126413,33.429859
Norway,NOR,Total,TOT,Czech Republic,CZE,7948,60.472024,8.468946,49.817492,15.472962
Norway,NOR,Total,TOT,Ghana,GHA,7658,60.472024,8.468946,7.946527,-1.023194
Norway,NOR,Total,TOT,Italy,ITA,7942,60.472024,8.468946,41.87194,12.56738
Oman,OMN,Total,TOT,Czech Republic,CZE,7658,21.512583,55.923255,49.817492,15.472962
Oman,OMN,Total,TOT,Israel,ISR,7693,21.512583,55.923255,31.046051,34.851612
Oman,OMN,Total,TOT,Lebanon,LBN,7673,21.512583,55.923255,33.854721,35.862285
Oman,OMN,Total,TOT,Nepal,NPL,7658,21.512583,55.923255,28.394857,84.124008
Pakistan,PAK,Total,TOT,Czech Republic,CZE,7814,30.375321,69.345116,49.817492,15.472962
Pakistan,PAK,Total,TOT,Denmark,DNK,7985,30.375321,69.345116,56.26392,9.501785
Pakistan,PAK,Total,TOT,Mauritius,MUS,7744,30.375321,69.345116,-20.348404,57.552152
Palau,PLW,Total,TOT,United States,USA,7685,7.51498,134.58252,37.09024,-95.712891
Palau,PLW,Total,TOT,Vanuatu,VUT,7658,7.51498,134.58252,-15.376706,166.959158
Panama,PAN,Total,TOT,Bolivia,BOL,7612,8.537981,-80.782127,-16.290154,-63.588653
Panama,PAN,Total,TOT,Bulgaria,BGR,7658,8.537981,-80.782127,42.733883,25.48583
Panama,PAN,Total,TOT,Cyprus,CYP,7658,8.537981,-80.782127,35.126413,33.429859
Panama,PAN,Total,TOT,Libya,LBY,7658,8.537981,-80.782127,26.3351,17.228331
Panama,PAN,Total,TOT,Luxembourg,LUX,7658,8.537981,-80.782127,49.815273,6.129583
Panama,PAN,Total,TOT,Tanzania,TZA,7658,8.537981,-80.782127,-6.369028,34.888822
Papua New Guinea,PNG,Total,TOT,Japan,JPN,7738,-6.314993,143.95555,36.204824,138.252924
Papua New Guinea,PNG,Total,TOT,United States,USA,7732,-6.314993,143.95555,37.09024,-95.712891
Peru,PER,Total,TOT,Argentina,ARG,7702,-9.189967,-75.015152,-38.416097,-63.616672
Peru,PER,Total,TOT,Aruba,ABW,7815,-9.189967,-75.015152,12.52111,-69.968338
Peru,PER,Total,TOT,Bolivia,BOL,7655,-9.189967,-75.015152,-16.290154,-63.588653
Peru,PER,Total,TOT,United Arab Emirates,ARE,7658,-9.189967,-75.015152,23.424076,53.847818
Philippines,PHL,Total,TOT,Ethiopia,ETH,7658,12.879721,121.774017,9.145,40.489673
Philippines,PHL,Total,TOT,Greenland,GRL,7658,12.879721,121.774017,71.706936,-42.604303
Philippines,PHL,Total,TOT,Madagascar,MDG,7658,12.879721,121.774017,-18.766947,46.869107
Philippines,PHL,Total,TOT,New Zealand,NZL,7999,12.879721,121.774017,-40.900557,174.885971
Philippines,PHL,Total,TOT,Vanuatu,VUT,7658,12.879721,121.774017,-15.376706,166.959158
Poland,POL,Total,TOT,Israel,ISR,7645,51.919438,19.145136,31.046051,34.851612
Poland,POL,Total,TOT,Japan,JPN,7917,51.919438,19.145136,36.204824,138.252924
Poland,POL,Total,TOT,Martinique,MTQ,7658,51.919438,19.145136,14.641528,-61.024174
Poland,POL,Total,TOT,Mexico,MEX,7908,51.919438,19.145136,23.634501,-102.552784
Poland,POL,Total,TOT,Niger,NER,7658,51.919438,19.145136,17.607789,8.081666
Poland,POL,Total,TOT,Thailand,THA,7780,51.919438,19.145136,15.870032,100.992541
Portugal,PRT,Total,TOT,Argentina,ARG,7668,39.399872,-8.224454,-38.416097,-63.616672
Portugal,PRT,Total,TOT,Iceland,ISL,7948,39.399872,-8.224454,64.963051,-19.020835
Portugal,PRT,Total,TOT,Philippines,PHL,7612,39.399872,-8.224454,12.879721,121.774017
Portugal,PRT,Total,TOT,Tunisia,TUN,7882,39.399872,-8.224454,33.886917,9.537499
Portugal,PRT,Total,TOT,Uganda,UGA,7658,39.399872,-8.224454,1.373333,32.290275
Puerto Rico,PRI,Total,TOT,Cameroon,CMR,7659,18.220833,-66.590149,7.369722,12.354722
Puerto Rico,PRI,Total,TOT,Honduras,HND,7814,18.220833,-66.590149,15.199999,-86.241905
Puerto Rico,PRI,Total,TOT,Peru,PER,7738,18.220833,-66.590149,-9.189967,-75.015152
Puerto Rico,PRI,Total,TOT,Turkey,TUR,7658,18.220833,-66.590149,38.963745,35.243322
Qatar,QAT,Total,TOT,Bulgaria,BGR,7658,25.354826,51.183884,42.733883,25.48583
Qatar,QAT,Total,TOT,Saudi Arabia,SAU,7814,25.354826,51.183884,23.885942,45.079162
Romania,ROU,Total,TOT,Bosnia and Herzegovina,BIH,7828,45.943161,24.96676,43.915886,17.679076
Romania,ROU,Total,TOT,Burkina Faso,BFA,7658,45.943161,24.96676,12.238333,-1.561593
Romania,ROU,Total,TOT,China,CHN,7814,45.943161,24.96676,35.86166,104.195397
Romania,ROU,Total,TOT,Estonia,EST,7658,45.943161,24.96676,58.595272,25.013607
Romania,ROU,Total,TOT,New Zealand,NZL,7724,45.943161,24.96676,-40.900557,174.885971
Rwanda,RWA,Total,TOT,Hungary,HUN,7658,-1.940278,29.873888,47.162494,19.503304
Rwanda,RWA,Total,TOT,South Africa,ZAF,7690,-1.940278,29.873888,-30.559482,22.937506
Saint Helena,SHN,Total,TOT,Cuba,CUB,7658,-24.143474,-10.030696,21.521757,-77.781167
Saint Helena,SHN,Total,TOT,South Africa,ZAF,7882,-24.143474,-10.030696,-30.559482,22.937506
Samoa,WSM,Total,TOT,Fiji,FJI,7883,-13.759029,-172.104629,-16.578193,179.414413
Samoa,WSM,Total,TOT,Kiribati,KIR,7658,-13.759029,-172.104629,-3.370417,-168.734039
Samoa,WSM,Total,TOT,Tonga,TON,7814,-13.759029,-172.104629,-21.178986,-175.198242
Saudi Arabia,SAU,Total,TOT,Canada,CAN,8008,23.885942,45.079162,56.130366,-106.346771
Saudi Arabia,SAU,Total,TOT,Italy,ITA,7738,23.885942,45.079162,41.87194,12.56738
Saudi Arabia,SAU,Total,TOT,Netherlands,NLD,7828,23.885942,45.079162,52.132633,5.291266
Saudi Arabia,SAU,Total,TOT,Philippines,PHL,7600,23.885942,45.079162,12.879721,121.774017
Saudi Arabia,SAU,Total,TOT,Singapore,SGP,7814,23.885942,45.079162,1.352083,103.819836
Senegal,SEN,Total,TOT,Spain,ESP,7734,14.497401,-14.452362,40.463667,-3.74922
Senegal,SEN,Total,TOT,Switzerland,CHE,7830,14.497401,-14.452362,46.818188,8.227512
Senegal,SEN,Total,TOT,United Kingdom,GBR,7863,14.497401,-14.452362,55.378051,-3.435973
Seychelles,SYC,Total,TOT,Germany,DEU,7917,-4.679574,55.491977,51.165691,10.451526
Seychelles,SYC,Total,TOT,Switzerland,CHE,7780,-4.679574,55.491977,46.818188,8.227512
Sierra Leone,SLE,Total,TOT,Guinea,GIN,7937,8.460555,-11.779889,9.945587,-9.696645
Sierra Leone,SLE,Total,TOT,Liberia,LBR,7941,8.460555,-11.779889,6.428055,-9.429499
Sierra Leone,SLE,Total,TOT,Spain,ESP,7800,8.460555,-11.779889,40.463667,-3.74922
Sierra Leone,SLE,Total,TOT,Turkey,TUR,7658,8.460555,-11.779889,38.963745,35.243322
Singapore,SGP,Total,TOT,Canada,CAN,7931,1.352083,103.819836,56.130366,-106.346771
